preset_id,approach,flag_transition,before_flagged,after_flagged,before_reasons,after_reasons,before_target_in_sector,after_target_in_sector,before_station_overlap_fraction_in_fan,after_station_overlap_fraction_in_fan,before_nUS_delta_deg_from_voxel_baseline,after_nUS_delta_deg_from_voxel_baseline,before_contact_delta_mm_from_voxel_baseline,after_contact_delta_mm_from_voxel_baseline,before_contact_refinement_ambiguity,after_contact_refinement_ambiguity,before_target_lateral_offset_mm,after_target_lateral_offset_mm,before_target_contrast_vs_sector,after_target_contrast_vs_sector,before_wall_contrast_vs_sector,after_wall_contrast_vs_sector,before_vessel_contrast_vs_sector,after_vessel_contrast_vs_sector,before_wall_pixel_count,after_wall_pixel_count
station_10r_node_a,default,still_clear,False,False,,,True,True,0.2522885389967045,0.2522885389967045,5.339151284637525,5.339151284637525,0.6263696743868383,0.6263696743868383,False,False,-1.605726882778938,-1.605726882778938,0.01345408707857132,0.01345408707857132,0.8476169556379318,0.8476169556379318,-0.048655524384230375,-0.048655524384230375,5,5
station_10r_node_b,default,still_clear,False,False,,,True,True,0.12376418894177957,0.12376418894177957,2.9049015747126825,2.9049015747126825,1.0420124022358168,1.0420124022358168,False,False,2.148515656101151,2.148515656101151,0.04033137485384941,0.04033137485384941,0.9476453773677349,0.9476453773677349,-0.03741340897977352,-0.03741340897977352,5,5
station_11l_node_a,default,still_flagged,True,True,nUS delta 19.67 deg > 10.0 deg | contact delta 3.39 mm > 1.5 mm,nUS delta 19.67 deg > 10.0 deg | contact delta 3.39 mm > 1.5 mm,True,True,0.03515195898938118,0.03515195898938118,19.670885677307236,19.670885677307236,3.394448808830015,3.394448808830015,False,False,-3.2590520301301136,-3.2590520301301136,0.0007437318563461304,0.0007437318563461304,0.16544752940535545,0.16544752940535545,-0.03479803912341595,-0.03479803912341595,615,615
station_11ri_node_a,default,still_flagged,True,True,contact delta 2.56 mm > 1.5 mm | contact refinement remained ambiguous | target contrast -0.014 < 0.000,contact delta 2.56 mm > 1.5 mm | contact refinement remained ambiguous | target contrast -0.014 < 0.000,True,True,0.03515195898938118,0.03515195898938118,8.25313379024058,8.25313379024058,2.5637049475918916,2.5637049475918916,True,True,0.7665116823492544,0.7665116823492544,-0.01408391259610653,-0.01408391259610653,0.47329721227288246,0.47329721227288246,-0.013514922931790352,-0.013514922931790352,107,107
station_11rs_node_a,default,still_flagged,True,True,target region missing from physics eval summary,target region missing from physics eval summary,True,True,0.15854998169168802,0.15854998169168802,0.3254438585445646,0.3254438585445646,0.7688306736465542,0.7688306736465542,False,False,4.238540602464664,4.238540602464664,,,0.5077182985842228,0.5077182985842228,-0.029343408066779375,-0.029343408066779375,140,140
station_11rs_node_b,default,still_flagged,True,True,contact delta 2.31 mm > 1.5 mm | contact refinement remained ambiguous | target contrast -0.009 < 0.000,contact delta 2.31 mm > 1.5 mm | contact refinement remained ambiguous | target contrast -0.009 < 0.000,True,True,0.18381545221530574,0.18381545221530574,4.3958711097996055,4.3958711097996055,2.31043560324354,2.31043560324354,True,True,0.9487230891474121,0.9487230891474121,-0.008528070524334908,-0.008528070524334908,0.8449721299111843,0.8449721299111843,-0.026490921154618263,-0.026490921154618263,33,33
station_2l_node_a,default,still_clear,False,False,,,True,True,0.03149029659465397,0.03149029659465397,7.008063063063497,7.008063063063497,0.30676205382940097,0.30676205382940097,False,False,-0.748817590678073,-0.748817590678073,0.07003673166036606,0.07003673166036606,0.9308570846915245,0.9308570846915245,-0.023865433409810066,-0.023865433409810066,3,3
station_2r_node_a,default,still_clear,False,False,,,True,True,0.06749664347613817,0.06749664347613817,8.047749739414357,8.047749739414357,0.5074881745169543,0.5074881745169543,False,False,1.64449403933254,1.64449403933254,0.04126116260886192,0.04126116260886192,0.8286462016403675,0.8286462016403675,,,9,9
station_4l_node_a,default,still_flagged,True,True,target contrast -0.001 < 0.000,target contrast -0.001 < 0.000,True,True,0.46661784450140364,0.46661784450140364,2.486351823137489,2.486351823137489,1.1959186652390599,1.1959186652390599,False,False,-4.343206007704424,-4.343206007704424,-0.0008611604571342468,-0.0008611604571342468,0.8523355275392532,0.8523355275392532,-0.03065233980305493,-0.03065233980305493,34,34
station_4l_node_b,default,still_flagged,True,True,target contrast -0.006 < 0.000,target contrast -0.006 < 0.000,True,True,0.32954961552544854,0.32954961552544854,8.989640254651427,8.989640254651427,1.1092407785514256,1.1092407785514256,False,False,5.670181339087949,5.670181339087949,-0.006009649485349655,-0.006009649485349655,0.9487402252852917,0.9487402252852917,-0.04496469907462597,-0.04496469907462597,1,1
station_4l_node_c,default,still_clear,False,False,,,True,True,0.13474917612596118,0.13474917612596118,0.8551052451097562,0.8551052451097562,0.035760946730570085,0.035760946730570085,False,False,5.337228654516279,5.337228654516279,0.02068915218114853,0.02068915218114853,0.8633318468928337,0.8633318468928337,-0.04425195697695017,-0.04425195697695017,6,6
station_4r_node_a,default,still_clear,False,False,,,True,True,0.19016233369949959,0.19016233369949959,3.6492845677704757,3.6492845677704757,0.05488634557505507,0.05488634557505507,False,False,-4.797955361781156,-4.797955361781156,0.019804272800683975,0.019804272800683975,0.8839263282716274,0.8839263282716274,-0.050325209740549326,-0.050325209740549326,6,6
station_4r_node_b,default,still_flagged,True,True,contact refinement remained ambiguous,contact refinement remained ambiguous,True,True,0.20834859025997804,0.20834859025997804,3.78575179256146,3.78575179256146,0.0407480155624235,0.0407480155624235,True,True,-0.28636387182133527,-0.28636387182133527,0.03831544145941734,0.03831544145941734,0.8744526691734791,0.8744526691734791,-0.0468351230956614,-0.0468351230956614,5,5
station_4r_node_c,default,still_clear,False,False,,,True,True,0.08409617966556816,0.08409617966556816,7.440413621609189,7.440413621609189,0.6758545106661423,0.6758545106661423,False,False,-0.782083185546051,-0.782083185546051,0.05695109814405441,0.05695109814405441,0.9648038595914841,0.9648038595914841,-0.0247895959764719,-0.0247895959764719,2,2
station_7_node_a,lms,still_flagged,True,True,target contrast -0.001 < 0.000 | vessel contrast -0.003 > -0.010,target contrast -0.001 < 0.000 | vessel contrast -0.003 > -0.010,True,True,0.7289149273770291,0.7289149273770291,2.535013071491338,2.535013071491338,0.496474890091123,0.496474890091123,False,False,-8.064392405751857,-8.064392405751857,-0.0007988542784005404,-0.0007988542784005404,0.03887949138879776,0.03887949138879776,-0.0034575352328829467,-0.0034575352328829467,123,123
station_7_node_a,rms,still_clear,False,False,,,True,True,0.4300012205541316,0.4300012205541316,2.5024690780128362,2.5024690780128362,1.3108165583430835,1.3108165583430835,False,False,-5.598121649940108,-5.598121649940108,0.012084782123565674,0.012084782123565674,0.17820246145129204,0.17820246145129204,-0.04472445696592331,-0.04472445696592331,104,104
